id,tents,structures,vehicles,year,month,date_time,lat,lon,neighborhood,geoid
3,0,0,01,2025,12,12/09/2025,37.771392404597194,-122.50858414918184,Outer Richmond,06075980300
4,0,0,10,2025,12,12/09/2025,37.77153445661786,-122.50607628375292,Golden Gate Park,06075980300
5,0,0,10,2025,12,12/09/2025,37.77255372486613,-122.51097299158572,Outer Richmond,06075047904
6,0,0,10,2025,12,12/09/2025,37.77487763573448,-122.51145511865616,Outer Richmond,06075047904
7,0,0,01,2025,12,12/09/2025,37.775084078383365,-122.51067861914633,Outer Richmond,06075047904
8,0,1,00,2025,12,12/09/2025,37.77354700760226,-122.51017067581415,Outer Richmond,06075047904
9,0,0,01,2025,12,12/09/2025,37.77230725723296,-122.5099480524659,Outer Richmond,06075047904
10,0,0,01,2025,12,12/09/2025,37.77176582061209,-122.50121880322695,Golden Gate Park,06075980300
11,0,0,01,2025,12,12/09/2025,37.77206873938635,-122.4950359761715,Golden Gate Park,06075980300
12,0,0,01,2025,12,12/09/2025,37.77205787355503,-122.49434866011143,Outer Richmond,06075980300
13,0,0,01,2025,12,12/09/2025,37.772234906900785,-122.49104954302311,Outer Richmond,06075980300
14,0,0,01,2025,12,12/09/2025,37.772372982015476,-122.48780105262996,Outer Richmond,06075980300
15,0,0,10,2025,12,12/09/2025,37.772841799434765,-122.47742895036936,Inner Richmond,06075980300
16,0,0,02,2025,12,12/09/2025,37.77305911345405,-122.47269149869679,Inner Richmond,06075980300
17,0,0,01,2025,12,12/09/2025,37.77315292930888,-122.47053433209659,Inner Richmond,06075980300
18,0,0,01,2025,12,12/09/2025,37.77319559693228,-122.4699543043971,Inner Richmond,06075980300
19,0,0,01,2025,12,12/09/2025,37.77327907699383,-122.46671989560127,Golden Gate Park,06075980300
20,0,0,01,2025,12,12/09/2025,37.77380009645437,-122.46185638010502,Inner Richmond,06075980300
21,0,0,01,2025,12,12/09/2025,37.77393949371391,-122.46091727167367,Inner Richmond,06075980300
22,0,0,02,2025,12,12/09/2025,37.77404576407171,-122.45979610830544,Inner Richmond,06075980300
23,1,0,02,2025,12,12/09/2025,37.78314469632342,-122.4470804259181,Laurel Heights / Jordan Park,06075015401
24,0,0,12,2025,12,12/09/2025,37.78568131162471,-122.4473737925291,Laurel Heights / Jordan Park,06075015402
25,0,0,01,2025,12,12/09/2025,37.78494786698863,-122.4484034255147,Laurel Heights / Jordan Park,06075015402
26,0,0,01,2025,12,12/09/2025,37.78693938540035,-122.44904045015572,Presidio Heights,06075015402
27,0,0,01,2025,12,12/09/2025,37.77829565813497,-122.50935997813939,Sutro Heights,06075047904
28,0,0,01,2025,12,12/09/2025,37.77947223960926,-122.5040277466178,Sutro Heights,06075047902
29,0,0,01,2025,12,12/09/2025,37.779925642471284,-122.50300515443085,Sutro Heights,06075047902
30,0,1,00,2025,12,12/10/2025,37.77558759462154,-122.41885721683504,Civic Center,06075012405
31,1,1,00,2025,12,12/10/2025,37.77167677338729,-122.4208527803421,South of Market,06075020101
32,0,0,21,2025,12,12/10/2025,37.77402058781621,-122.42037300020456,South of Market,06075020101
33,1,0,00,2025,12,12/10/2025,37.78585566263861,-122.42045111954211,Lower Nob Hill,06075012202
34,1,0,00,2025,12,12/10/2025,37.786458733794326,-122.41914756596088,Lower Nob Hill,06075012202
35,0,1,00,2025,12,12/10/2025,37.78679630311014,-122.42049638181925,Lower Nob Hill,06075012002
36,2,2,00,2025,12,12/10/2025,37.7704489178329,-122.42326442152263,Mint Hill,06075020202
37,0,1,00,2025,12,12/10/2025,37.79410294951811,-122.40421336144209,Chinatown,06075061101
38,0,1,00,2025,12,12/10/2025,37.79530736267194,-122.40564096719027,Chinatown,06075061101
39,0,1,00,2025,12,12/10/2025,37.79442114328703,-122.4056989699602,Chinatown,06075061101
40,0,1,00,2025,12,12/10/2025,37.7964630085722,-122.42196556180716,Polk Gulch,06075010902
41,0,1,00,2025,12,12/10/2025,37.79803271871833,-122.40674704313278,North Beach,06075010600
42,0,0,11,2025,12,12/10/2025,37.76473208468619,-122.49275509268047,Outer Sunset,06075032700
43,1,1,00,2025,12,12/10/2025,37.777012526990795,-122.40917913615704,South of Market,06075017804
44,1,0,00,2025,12,12/10/2025,37.783675450464905,-122.42113977670668,Cathedral Hill,06075016000
45,0,1,00,2025,12,12/10/2025,37.780329489318156,-122.42228139191866,Civic Center,06075016000
46,0,1,00,2025,12,12/10/2025,37.798822727308064,-122.40883346647024,North Beach,06075010702
47,0,1,00,2025,12,12/10/2025,37.781240256555556,-122.42285270243883,Cathedral Hill,06075016000
48,0,1,00,2025,12,12/10/2025,37.78233597125185,-122.42170102894305,Cathedral Hill,06075016000
49,1,1,01,2025,12,12/10/2025,37.78127947467747,-122.40736093372108,South of Market,06075017602
50,2,2,10,2025,12,12/10/2025,37.77821297873257,-122.41120185703039,South of Market,06075017603
51,0,1,00,2025,12,12/10/2025,37.80301662538349,-122.41394810378553,Russian Hill,06075010401
52,0,1,00,2025,12,12/10/2025,37.806761553103655,-122.4191217496991,Fisherman's Wharf,06075010202
53,0,0,01,2025,12,12/10/2025,37.74055986634604,-122.5069024041295,Outer Sunset,06075035400
54,0,1,00,2025,12,12/10/2025,37.805891100178314,-122.42201048880816,Aquatic Park / Ft. Mason,06075010202
55,0,0,22,2025,12,12/10/2025,37.742553905934834,-122.50714883208275,Outer Sunset,06075035400
56,0,0,30,2025,12,12/10/2025,37.77690891092654,-122.41438630968331,South of Market,06075017603
57,0,0,20,2025,12,12/10/2025,37.74358656454479,-122.50718671828507,Outer Sunset,06075035400
58,0,0,02,2025,12,12/10/2025,37.7112608343246,-122.4539777263999,Outer Mission,06075026201
59,0,0,20,2025,12,12/10/2025,37.74514758825767,-122.50744421035053,Outer Sunset,06075035400
60,0,0,11,2025,12,12/10/2025,37.712686475183375,-122.4510370194912,Outer Mission,06075026202
61,4,2,00,2025,12,12/10/2025,37.77838416739276,-122.40213699638844,South of Market,06075018000
62,0,0,20,2025,12,12/10/2025,37.71363361601986,-122.4494669213891,Outer Mission,06075026202
63,1,1,00,2025,12,12/10/2025,37.77149046292422,-122.40995328873394,South of Market,06075018000
64,0,4,01,2025,12,12/10/2025,37.77023610159822,-122.40849215537308,Showplace Square,06075018000
65,0,0,10,2025,12,12/10/2025,37.71359913616815,-122.45023302733898,Outer Mission,06075026202
66,0,0,02,2025,12,12/10/2025,37.71475200939404,-122.38892193585903,Bret Harte,06075061000
67,0,0,01,2025,12,12/10/2025,37.78630425689771,-122.42451097816227,Cathedral Hill,06075015100
68,1,0,00,2025,12,12/10/2025,37.78242500563817,-122.42511682212353,Cathedral Hill,06075015900
69,0,0,01,2025,12,12/10/2025,37.712383313293216,-122.44484379887581,Crocker Amazon,06075026303
70,1,0,00,2025,12,12/10/2025,37.78487380875778,-122.41975858435316,Tenderloin,06075012202
71,1,0,00,2025,12,12/10/2025,37.78328479022957,-122.41127590229654,Tenderloin,06075012502
72,2,0,00,2025,12,12/10/2025,37.783488134981894,-122.41614775138525,Tenderloin,06075012403
73,0,0,01,2025,12,12/10/2025,37.764221073169615,-122.40079455077648,Potrero Hill,06075022704
74,0,3,15,2025,12,12/10/2025,37.74996823794546,-122.39054029079223,Central Waterfront,06075980900
75,0,0,03,2025,12,12/10/2025,37.74174344158683,-122.38953278955438,Bayview,06075980900
76,0,0,01,2025,12,12/10/2025,37.71047655239049,-122.39874136074482,Little Hollywood,06075061000
77,0,0,02,2025,12,12/10/2025,37.74109305267809,-122.39027554317758,Bayview,06075980900
78,1,1,31,2025,12,12/10/2025,37.76866368072389,-122.40099135786295,Showplace Square,06075060702
79,0,0,01,2025,12,12/10/2025,37.71031346025286,-122.3976936226413,Little Hollywood,06075061000
80,0,0,01,2025,12,12/10/2025,37.74000931803318,-122.39123577507175,Bayview,06075980900
81,0,1,00,2025,12,12/10/2025,37.76929905475861,-122.42206978031457,Mission,06075020101
82,0,0,02,2025,12,12/10/2025,37.779987385603214,-122.42997363209724,Western Addition,06075016102
83,0,2,00,2025,12,12/10/2025,37.793734945190444,-122.39971864968538,Financial District,06075011700
84,0,1,00,2025,12,12/10/2025,37.763671210022586,-122.42179428706663,Mission Dolores,06075020201
85,0,1,00,2025,12,12/10/2025,37.75555409712587,-122.38554548020583,Central Waterfront,06075022600
86,1,1,00,2025,12,12/10/2025,37.77214002980114,-122.38708242774008,Mission Bay,06075060701
87,0,1,00,2025,12,12/10/2025,37.79346814753027,-122.39990975707771,Financial District,06075011700
88,0,0,02,2025,12,12/10/2025,37.75578000953128,-122.39188545838766,Potrero Hill,06075022600
89,0,0,10,2025,12,12/10/2025,37.742063772192374,-122.38848782967982,Bayview,06075980900
90,0,1,00,2025,12,12/10/2025,37.75851113020935,-122.42173288459433,Mission Dolores,06075020701
